Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
HHC,"Howard Hughes Corporation",D,Conservative,D,D,F,C,D,F,B,F,C,C,3.72,20.13,0.00,104.90,53.60,0.04,10.68,199.09,-5.30,-0.47,-1275.89,-62.93,"Develops residential condominium and commercial property projects","Real Estate Development",46,7,12,17,15
HIW,"Highwoods Properties, Inc.",F,Conservative,F,D,C,D,D,D,D,D,F,C,2.18,13.93,7.00,46.83,20.80,0.38,-4.88,214.22,3.80,0.23,-39.47,-16.01,"Acts as a real estate investment trust which operates, acquires and develops office properties","Real Estate Investment Trusts",209,80,119,96,134
HLF,"Herbalife Nutrition Ltd.",D,Conservative,D,C,F,A,A,D,A,D,A,D,1.67,5.30,0.00,34.00,13.00,0.99,57.00,1.00,-9.80,0.66,-33.83,11.30,"Manufactures and markets nutrition products","Medical Distributors",12,7,7,7,3
HOLX,"Hologic, Inc.",B,Conservative,B,C,F,D,D,A,B,D,C,A,19.00,19.70,0.00,86.00,61.00,2.07,17.40,959.20,-33.20,0.88,-57.37,-6.10,"Develops, manufactures and supplies diagnostics products, medical imaging systems & surgical products","Medical Specialties",246,19,183,54,79
HR,"Healthcare Realty Trust Incorporated Class A",D,Conservative,D,C,A,F,F,F,B,A,D,C,7.31,184.56,6.00,32.03,18.40,0.08,21.07,329.75,64.67,-0.12,-243.75,-449.35,"Operates as a Real Estate Investment Trust (REIT","Real Estate Investment Trusts",209,41,6,133,157
HRL,"Hormel Foods Corporation",D,Conservative,D,C,D,B,C,D,D,C,C,B,20.96,21.10,2.00,55.00,38.00,0.48,-11.60,3.00,-0.50,0.40,-17.37,2.40,"Engages in the business of manufacturing and marketing of meat products and other prepared foods","Food: Meat/Fish/Dairy",8,1,6,1,3
HSBC,"HSBC Holdings PLC Sponsored ADR",B,Conservative,B,B,A,A,A,A,A,D,B,B,132.11,8.90,5.00,39.00,25.00,0.70,133.70,15.00,23.50,1.28,82.14,19.10,"Engages in providing banking and financial services","Major Banks",89,4,27,8,7
HSY,"Hershey Company",B,Conservative,A,B,C,B,B,B,B,F,C,A,49.84,30.50,2.00,245.00,202.00,2.53,14.00,2.00,8.40,2.66,5.14,8.30,"Manufactures, sells and distributes chocolate, candy, chewing gum, non-confectionery products and snack foods","Food: Specialty/Candy",43,2,14,9,19
HUBB,"Hubbell Incorporated",B,Conservative,A,C,C,B,C,B,B,F,C,A,12.62,23.40,2.00,259.00,171.00,2.12,8.80,1.00,8.30,2.47,16.60,6.90,"Manufactures electrical and electronic products","Electrical Products",57,5,18,6,18
HUM,"Humana Inc.",B,Conservative,A,C,C,C,C,B,B,F,D,B,61.93,22.50,1.00,563.00,420.00,8.04,11.00,26.00,10.70,9.48,17.91,13.60,"Offers health insurance coverage and related services","Managed Health Care",9,4,4,1,1
HUN,"Huntsman Corporation",D,Conservative,D,D,F,F,F,F,F,F,D,B,5.08,12.80,3.00,40.00,24.00,1.19,-64.90,1.00,-29.30,0.16,-86.81,13.70,"Manufactures chemicals for the plastics, automotive and construction industries","Chemicals: Major Diversified",14,4,10,7,4
HWC,"Hancock Whitney Corporation",D,Conservative,D,C,B,C,B,D,C,F,A,B,3.08,5.99,2.23,56.24,35.82,1.40,0.13,375.89,20.52,1.52,8.65,-1.16,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,29,74,108,154
HWM,"Howmet Aerospace Inc.",B,Conservative,A,B,B,A,A,D,C,C,C,B,16.16,35.40,0.00,44.00,31.00,0.31,0.30,1.00,12.20,0.38,21.38,19.30,"Manufactures jet engine and airframe structural components, aerospace fastening systems and forged wheels","Aerospace & Defense",62,12,19,8,16
IBM,"International Business Machines Corporation",B,Conservative,B,C,D,B,B,C,C,D,B,C,112.07,70.30,5.00,151.00,118.00,1.40,0.10,14.00,1.20,1.27,-9.59,4.70,"Manufactures various computer products through the use of advanced information technology","Information Technology Services",109,3,64,42,62
IBTX,"Independent Bank Group, Inc.",F,Conservative,F,C,B,D,C,D,D,D,B,B,1.96,10.16,2.53,76.97,47.10,1.22,-6.22,152.49,4.82,1.13,-7.51,2.98,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,46,144,147,124
ICE,"Intercontinental Exchange, Inc.",D,Conservative,D,D,D,D,D,C,D,D,C,C,54.22,37.70,1.00,137.00,90.00,1.43,-1.10,1.00,-2.10,1.34,-6.25,7.30,"Operates as an online global electronic marketplace for trading in futures and over-the-counter commodities","Investment Banks/Brokers",43,5,22,21,28
IEX,"IDEX Corporation",B,Conservative,A,C,C,B,B,B,C,F,C,A,16.31,27.90,1.00,242.00,173.00,1.96,1.90,818.60,9.00,2.02,2.94,6.30,"Manufactures and supplies industrial pumps & other engineering equipment","Industrial Machinery",85,12,24,15,46
IIPR,"Innovative Industrial Properties Inc",D,Conservative,F,C,B,A,B,D,B,F,D,B,2.25,14.55,7.01,210.10,80.03,1.32,17.74,70.67,9.55,1.31,-0.95,1.70,"Functions as real estate investment trust","Real Estate Investment Trusts",209,78,80,46,65
IMO,"Imperial Oil Limited",B,Conservative,B,B,C,A,A,D,B,F,B,A,26.19,5.10,2.00,58.00,40.00,1.37,10.90,10.00,9.60,1.57,14.89,1.90,"Engages in the exploration and production and sale of crude oil and natural gas","Integrated Oil",48,12,16,12,17
INTC,"Intel Corporation",D,Conservative,D,D,F,F,F,F,F,D,D,B,123.32,15.28,5.52,52.25,24.90,0.87,-50.66,11114.63,-39.44,-0.16,-118.07,82.41,"Designs, manufactures and sells computer components and related products",Semiconductors,101,8,72,53,9
INTU,"Intuit Inc.",B,Conservative,B,B,C,A,A,B,A,F,D,B,116.11,63.00,1.00,506.00,353.00,7.65,49.90,6.00,8.10,8.46,10.60,14.40,"Provides software products for businesses","Packaged Software",336,6,164,48,135
INVH,"Invitation Homes, Inc.",D,Conservative,D,C,B,C,B,D,B,A,D,C,18.64,63.81,2.97,43.91,28.59,0.15,8.27,578.04,8.59,0.16,5.55,9.89,"Owns and operates single-family homes","Real Estate Investment Trusts",209,16,85,34,40
IPG,"Interpublic Group of Companies, Inc.",B,Conservative,B,C,D,C,C,A,C,D,B,A,13.04,14.20,3.00,39.00,25.00,0.47,0.50,2.00,-1.50,0.34,-27.98,5.80,"Provides marketing and business services","Advertising/Marketing Services",33,2,15,3,10
IR,"Ingersoll Rand Inc.",B,Conservative,B,B,B,B,C,B,B,C,C,C,21.25,35.50,0.00,60.00,40.00,0.49,15.20,1.00,10.40,0.52,5.24,10.10,"Manufactures industrial equipment, technologies and related parts","Industrial Machinery",85,9,21,14,32
IRM,"Iron Mountain, Inc.",B,Conservative,A,B,C,A,A,D,C,B,D,A,14.63,26.41,4.96,57.72,43.59,0.38,0.44,1315.28,5.39,0.34,-10.05,8.27,"Functions as a real estate investment trust which provides records and information management storage solutions","Real Estate Investment Trusts",209,21,109,61,48
IT,"Gartner, Inc.",B,Conservative,B,B,B,B,B,C,A,F,C,A,23.95,30.30,0.00,356.00,224.00,2.33,47.80,1.00,9.30,2.06,-11.64,5.20,"Operates an online research, conference consulting and advisory platform","Internet Software/Services",119,9,24,14,48
ITW,"Illinois Tool Works Inc.",B,Conservative,A,B,C,A,A,B,B,F,C,A,70.09,23.50,2.00,251.00,176.00,2.11,17.00,3.00,1.00,2.23,5.48,4.70,"Manufactures diversified range of industrial products and equipments","Industrial Machinery",85,3,52,13,51
J,"Jacobs Solutions Inc.",D,Conservative,D,C,C,C,B,C,C,F,C,B,14.32,22.50,1.00,148.00,108.00,1.72,4.30,3.00,4.10,1.80,4.45,10.20,"Provides analytics, technical and scientific consulting services","Data Processing Services",54,8,18,12,17
JBHT,"J.B. Hunt Transport Services, Inc.",D,Conservative,D,C,C,C,C,C,D,F,D,A,17.38,18.19,0.92,215.07,154.88,2.29,-21.38,3491.99,0.10,2.08,-8.97,7.46,"Operates as a surface transportation, delivery and logistics company",Trucking,22,3,6,5,7
JBL,"Jabil Inc.",A,Conservative,A,C,C,C,C,C,C,F,C,A,10.60,11.40,0.00,85.00,51.00,1.72,1.80,8.00,-1.70,1.87,8.75,8.20,"Designs, manufactures & services electronics products","Electronic Components",24,3,11,8,5
JD,"JD.com, Inc. Sponsored ADR Class A",D,Moderate,D,C,D,C,C,C,A,B,C,C,52.34,40.10,1.00,66.00,37.00,0.38,34.80,35.00,-0.10,0.55,47.11,18.20,"Provides online shopping services","Internet Retail",48,5,22,2,19
JKHY,"Jack Henry & Associates, Inc.",D,Conservative,D,C,D,C,C,C,D,D,C,A,10.69,30.40,1.00,211.00,141.00,1.16,-1.50,501.00,4.80,1.10,-4.79,6.20,"Provides software services for payment processing, banks and credit union","Packaged Software",336,43,184,71,171
JLL,"Jones Lang LaSalle Incorporated",D,Conservative,D,D,D,D,D,D,D,F,B,B,6.95,11.03,0.00,246.06,138.30,3.47,-2.20,4.00,-4.70,2.00,-42.27,10.43,"Provides integrated real estate and investment management services","Real Estate Development",46,3,11,6,5
JNJ,"Johnson & Johnson",D,Conservative,D,C,D,C,C,B,C,F,C,A,398.26,22.60,3.00,186.00,151.00,2.67,5.10,23.00,0.70,2.52,-5.72,3.40,"Operates as an investment holding company with interests in health care products","Pharmaceuticals: Major",442,1,123,25,57
K,"Kellogg Company",B,Conservative,A,C,C,F,F,C,B,D,D,A,22.13,23.10,3.00,77.00,61.00,1.10,14.80,3.00,7.70,1.00,-9.45,1.10,"Engages in the production and distribution of cereals, cookies, crackers and frozen foods","Food: Specialty/Candy",43,3,16,16,30
KEY,KeyCorp,D,Conservative,F,C,B,D,D,D,F,C,A,B,10.76,6.00,5.00,24.00,11.00,0.45,-30.60,1.00,7.30,0.48,5.95,9.60,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,29,53,46,24
KEYS,"Keysight Technologies Inc",B,Conservative,B,C,C,B,B,C,B,F,B,A,27.59,25.10,0.00,189.00,131.00,1.83,8.90,1.00,2.20,1.95,6.31,7.40,"Provides electronic measurement instruments and systems","Electronic Equipment/Instruments",38,3,21,9,20
KFY,"Korn Ferry",D,Conservative,D,C,D,D,D,B,B,F,B,B,2.63,8.20,1.00,68.00,47.00,1.75,10.70,698.70,-3.10,1.00,-42.74,-5.50,"Provides organizational consulting, executive search and talent management services","Personnel Services",27,5,11,13,17
KHC,"Kraft Heinz Company",B,Conservative,B,C,C,C,C,C,B,C,C,C,46.10,19.60,4.00,44.00,33.00,0.60,9.30,6.00,6.10,0.60,-0.18,3.10,"Manufactures and markets packaged food products","Food: Major Diversified",11,2,5,3,7
KIM,"Kimco Realty Corporation",D,Conservative,D,D,D,F,F,C,F,A,D,C,10.93,112.03,3.97,26.35,17.67,0.37,-154.88,432.33,2.29,0.20,-44.79,110.91,"Operates as a real estate investment trust","Real Estate Investment Trusts",209,29,132,98,3
KLAC,"KLA Corporation",B,Conservative,A,B,B,B,A,C,C,F,C,A,53.69,15.94,1.25,428.76,263.22,5.13,4.01,2384.91,4.20,5.36,4.50,6.57,"Designs, manufactures and markets process control and yield management solutions for the semiconductor and related nanoelectronics industries",Semiconductors,101,11,29,19,41
KMB,"Kimberly-Clark Corporation",B,Conservative,B,C,D,A,A,D,C,D,D,A,42.31,21.90,3.00,143.00,110.00,1.35,1.70,5.00,-0.80,1.30,-3.66,8.50,"Engages in the manufacturing of paper based products and providing cleaning solutions","Household/Personal Care",22,5,13,6,11
KMI,"Kinder Morgan Inc Class P",B,Conservative,B,C,D,B,B,C,C,B,D,B,36.59,14.50,6.00,20.00,16.00,0.32,1.80,4.00,9.10,0.30,-7.19,2.50,"Provides pipeline transportation of natural gas services","Oil & Gas Pipelines",26,5,8,18,20
KMX,"CarMax, Inc.",D,Conservative,D,D,F,D,D,F,F,D,C,B,8.89,15.81,0.00,104.47,55.69,0.98,-63.28,6105.05,-20.58,0.20,-79.12,-11.44,"Operates as a holding company whose subsidiaries sell and finance used motor vehicles","Specialty Stores",80,11,68,48,52
KO,"Coca-Cola Company",B,Conservative,B,C,C,C,C,B,C,C,D,A,259.77,27.40,3.00,66.00,54.00,0.64,0.60,10.00,3.30,0.65,0.83,6.50,"Manufactures, wholesales and retails nonalcoholic beverages","Beverages: Non-Alcoholic",17,1,12,9,11
KRC,"Kilroy Realty Corporation",F,Conservative,F,C,C,B,B,C,D,A,D,C,3.35,14.53,5.48,78.89,28.68,0.45,-13.08,283.75,6.87,0.83,84.88,32.64,"Acts as a real estate investment trust which focuses on office and life science properties","Real Estate Investment Trusts",209,65,98,7,16
KW,"Kennedy-Wilson Holdings, Inc.",D,Conservative,D,C,C,C,D,B,A,A,F,D,2.25,36.38,6.00,25.22,14.50,0.24,131.83,135.51,8.67,0.10,-59.18,276.03,"Provides real estate investments and rental services","Real Estate Development",46,10,8,9,1
LAD,"Lithia Motors, Inc.",D,Conservative,D,C,C,C,C,C,D,F,B,A,5.72,4.75,0.79,340.00,183.09,11.96,-10.37,7375.72,10.00,9.07,-24.15,-3.50,"Sells new and used vehicles and related auto parts","Specialty Stores",80,17,14,28,39
LBRDA,"Liberty Broadband Corp. Class A",D,Conservative,D,D,D,D,D,D,F,F,C,B,11.59,10.01,0.00,137.73,69.29,1.77,-29.56,246.59,3.61,1.44,-18.51,4.24,"Provides broadband communications, data, wireless, video, voice and managed services","Wireless Telecommunications",19,8,8,9,13
LBTYA,"Liberty Global Plc Class A",D,Conservative,D,F,D,F,F,F,C,F,F,C,8.68,48.80,0.00,26.00,16.00,1.93,0.00,1.00,-6.00,0.21,-89.09,-142.90,"Provides cable television, telecommunication and internet services","Cable/Satellite TV",10,6,8,6,9
LEN,"Lennar Corporation Class A",B,Conservative,A,C,D,A,B,C,A,F,C,A,30.00,6.60,2.00,108.00,64.00,4.49,32.60,7.00,-16.00,2.30,-48.77,-5.10,"Builds residential buildings and provides residential mortgage, title and closing services",Homebuilding,27,3,15,15,9
LH,"Laboratory Corporation of America Holdings",D,Conservative,D,D,D,D,D,C,C,F,D,B,18.81,15.41,0.92,277.87,204.30,6.11,0.88,3692.94,-5.30,3.97,-35.02,2.08,"Provides medical testing services","Services to the Health Industry",7,2,4,3,4
LHX,"L3Harris Technologies Inc",D,Conservative,D,C,C,C,C,C,C,F,C,C,37.22,21.50,2.00,261.00,191.00,3.12,0.30,4.00,4.00,2.89,-7.29,3.50,"Develops aerospace and defense technologies","Aerospace & Defense",62,8,31,25,37
LIN,"Linde plc",B,Conservative,B,C,D,A,B,B,B,F,D,B,162.75,40.10,1.00,362.00,264.00,2.93,9.00,8.00,0.30,3.12,6.45,9.60,"Produces industrial gases","Chemicals: Specialty",59,1,23,7,22
LITE,"Lumentum Holdings, Inc.",F,Conservative,F,C,C,F,F,B,B,B,D,C,3.42,137.20,0.00,100.00,49.00,1.19,14.70,444.10,12.30,1.06,-10.67,1.40,"Manufactures optical and photonic products","Electrical Products",57,11,15,11,20
LKQ,"LKQ Corporation",B,Conservative,A,C,D,C,C,C,D,D,C,A,14.44,13.10,2.00,59.00,44.00,1.00,-8.20,3.00,-2.40,0.96,-3.75,7.90,"Provides recycled and remanufactured mechanical parts","Automotive Aftermarket",5,1,5,2,4
LLY,"Eli Lilly and Company",B,Conservative,A,C,D,A,B,C,B,F,C,A,312.78,48.40,1.00,375.00,279.00,2.62,17.20,6.00,-12.30,1.76,-32.86,25.20,"Discovers, develops, manufactures and sells pharmaceutical products","Pharmaceuticals: Major",442,2,146,37,32
LMT,"Lockheed Martin Corporation",B,Conservative,A,C,C,C,C,C,C,F,B,A,118.33,21.50,2.00,496.00,386.00,6.44,5.10,15.00,1.00,6.13,-4.83,10.00,"Manufactures components and systems for aerospace and defense use","Aerospace & Defense",62,4,37,24,25
LPLA,"LPL Financial Holdings Inc.",B,Conservative,B,B,C,A,A,B,C,F,B,A,15.49,18.80,0.00,269.00,167.00,1.95,5.40,2.00,16.80,4.57,134.61,27.50,"Operates as an investment holding company with interests in technology, brokerage and investment advisory services","Investment Banks/Brokers",43,15,5,2,6
LRCX,"Lam Research Corporation",B,Conservative,B,C,B,B,B,C,C,F,C,A,68.83,13.70,2.00,569.00,315.00,7.40,6.80,3.00,-6.20,6.48,-12.39,3.80,"Designs, manufactures and markets semiconductor processing equipment","Industrial Machinery",85,4,61,35,54
LSCC,"Lattice Semiconductor Corporation",A,Moderate,A,B,B,A,A,B,C,C,C,A,12.26,70.10,0.00,92.74,44.63,0.37,2.15,180.01,19.60,0.50,35.40,17.20,"Designs, develops, and markets high-speed programmable logic devices",Semiconductors,101,25,17,9,27
LSI,"Life Storage, Inc.",B,Conservative,B,C,B,B,B,C,C,D,D,B,10.30,28.68,4.22,150.41,95.23,0.88,2.72,270.50,15.85,1.03,16.62,8.68,"Functions as a real estate investment trust that acquires and manages self storage properties","Real Estate Investment Trusts",209,33,50,24,43
LSXMA,"Liberty Media Corp. Series A Liberty SiriusXM",F,Conservative,F,C,C,C,C,D,A,F,B,B,8.57,14.70,0.00,47.00,26.00,0.80,33.00,2.00,0.00,0.45,-43.99,270.30,"Operates as a holding company which provides satellite radio services",Movies/Entertainment,46,7,30,8,2
LU,"Lufax Holding Limited Sponsored ADR Class A",D,Moderate,F,D,F,F,F,F,D,B,C,B,4.37,3.40,10.00,7.00,1.00,0.32,-9.40,1.00,-26.40,0.06,-81.15,8.80,"Operates as a technology-empowered personal financial services platform","Internet Software/Services",119,23,76,31,42
LULU,"Lululemon Athletica Inc",B,Conservative,B,B,B,B,B,C,C,F,C,A,37.59,39.30,0.00,405.00,258.00,3.37,1.50,2.00,26.80,4.26,26.32,19.90,"Designs and retails athletic apparels","Internet Retail",48,7,3,6,17
LW,"Lamb Weston Holdings, Inc.",A,Conservative,A,B,B,A,A,A,A,C,D,A,14.43,29.80,1.00,102.00,54.00,0.73,73.90,1.00,21.20,0.99,35.11,39.40,"Produces frozen potato products","Food: Specialty/Candy",43,9,5,3,10
MA,"Mastercard Incorporated Class A",B,Conservative,B,C,C,B,B,B,C,F,C,A,334.28,34.20,1.00,382.00,283.00,2.76,2.90,5.00,8.40,2.71,-1.92,17.00,"Offers credit & debit cards and payment solutions","Miscellaneous Commercial Services",167,2,42,29,34
MAA,"Mid-America Apartment Communities, Inc.",D,Conservative,D,C,C,B,B,A,A,F,D,B,16.78,26.51,3.18,217.27,142.34,0.92,26.83,529.69,11.26,1.09,18.41,1.15,"Operates as a real estate investment trust which owns, acquires and develops apartment communities","Real Estate Investment Trusts",209,18,70,22,68
MAN,"ManpowerGroup Inc.",D,Conservative,D,D,F,D,D,C,D,F,C,B,3.98,11.20,3.00,100.00,65.00,1.88,-1.40,4.00,-6.50,1.63,-13.43,11.00,"Offers a complete range of workforce solutions and services","Personnel Services",27,3,18,5,10
MAR,"Marriott International, Inc. Class A",B,Conservative,B,B,B,B,A,B,B,F,C,A,49.31,21.90,1.00,190.00,133.00,1.25,7.30,5.00,28.60,1.84,47.40,12.70,"Operates and franchises hotels and related lodging facilities",Hotels/Resorts/Cruiselines,21,1,6,4,12
MAT,"Mattel, Inc.",D,Conservative,D,D,F,D,D,F,F,D,B,A,5.76,14.85,0.00,26.97,16.00,0.08,-37.42,775.01,-25.57,-0.12,-248.65,8.46,"Designs, manufactures and markets toys","Recreational Products",25,3,16,17,6
MATX,"Matson, Inc.",D,Moderate,F,D,F,D,D,F,C,F,C,A,2.18,2.20,2.00,125.00,60.00,8.23,7.00,707.80,-39.30,0.76,-90.77,-41.20,"Provides ocean transportation and logistics services","Marine Shipping",49,7,31,20,39
MCD,"McDonald's Corporation",B,Conservative,A,C,D,B,B,B,C,F,C,F,199.01,32.02,2.15,278.40,229.00,2.28,5.50,5543.60,-2.15,2.31,1.11,8.21,"Operates and franchises a food restaurant chain",Restaurants,51,1,38,24,28
MCHP,"Microchip Technology Incorporated",B,Conservative,B,B,B,A,A,B,C,D,B,A,44.21,21.81,1.65,86.52,56.14,1.35,0.63,2224.13,20.60,1.62,19.98,12.31,"Designs and manufactures microcontrollers for high volume embedded control applications",Semiconductors,101,13,16,12,31
MCK,"McKesson Corporation",B,Conservative,A,C,D,C,C,B,B,F,C,F,46.49,15.60,1.00,398.00,299.00,5.83,8.40,67.00,2.80,7.19,23.29,8.00,"Distributes pharmaceuticals and provides healthcare software and health information technology services","Medical Distributors",12,2,4,1,4
MCW,"Mister Car Wash, Inc.",D,Conservative,F,C,C,D,D,F,A,C,D,B,2.70,25.60,0.00,16.00,8.00,0.11,29.20,231.30,5.40,0.08,-22.83,6.40,"Provides car wash services","Other Consumer Services",52,19,27,13,30
MDLZ,"Mondelez International, Inc. Class A",B,Conservative,A,C,C,D,D,B,C,C,D,B,90.70,33.90,2.00,68.00,55.00,0.84,3.80,8.00,9.00,0.81,-3.41,7.60,"Manufactures and sells biscuits, snacks, chocolate and cheese products","Food: Specialty/Candy",43,1,13,13,22
MDRX,"Veradigm Inc.",D,Conservative,F,C,F,A,C,C,B,F,D,C,1.43,12.70,0.00,23.00,13.00,0.79,23.10,168.30,-57.10,0.27,-65.90,-6.40,"Develops patient engagement software to healthcare organizations","Packaged Software",336,137,274,116,183
MDT,"Medtronic Plc",D,Conservative,F,C,D,C,C,C,C,D,B,B,104.16,24.30,3.00,113.00,76.00,1.52,2.40,8.00,2.20,1.56,2.61,1.50,"Provides medical technology services","Medical Specialties",246,4,121,26,75
MELI,"MercadoLibre, Inc.",B,Moderate,B,B,A,C,C,A,A,F,C,A,60.37,125.50,0.00,1.00,613.00,1.30,34.30,2.00,25.70,2.63,102.61,53.20,"Provides online e-Commerce ecosystem, financial technology, logistics and internet advertising services","Internet Retail",48,4,4,1,14
MFG,"Mizuho Financial Group Inc Sponsored ADR",B,Conservative,B,A,A,A,A,A,A,A,A,C,34.85,7.40,3.00,3.00,2.00,0.03,53.80,4.00,3.70,0.06,87.50,4.80,"Operates as a bank holding company","Major Banks",89,19,62,7,47
MGM,"MGM Resorts International",B,Conservative,B,C,B,A,A,F,D,F,D,A,15.64,12.20,0.00,46.00,27.00,0.01,-5.60,3.00,23.20,0.02,66.69,68.90,"Operates as holding company that is primary engaged in the ownership and operation of casino resorts",Casinos/Gaming,16,2,4,1,8
MHK,"Mohawk Industries, Inc.",D,Conservative,D,D,D,D,D,D,C,F,D,C,5.99,323.50,0.00,158.00,88.00,3.78,0.80,2.00,-8.50,1.37,-63.84,2.80,"Engages in producing floor covering products for residential and commercial spaces","Forest Products",6,2,2,4,5
MKC,"McCormick & Company, Incorporated",D,Conservative,D,C,D,B,C,D,D,C,C,B,19.47,28.80,2.00,104.00,71.00,0.63,-15.50,1.00,1.60,0.50,-20.81,6.70,"Manufactures, markets and distributes spices, seasoning mixes, condiments and flavorful products","Food: Specialty/Candy",43,5,27,21,24
MKSI,"MKS Instruments, Inc.",D,Conservative,D,C,A,D,D,F,A,F,C,B,5.79,15.00,1.00,164.00,65.00,2.71,49.60,772.30,4.10,-0.13,-104.79,7.90,"Manufactures instruments, components and subsystems to measure, monitor, deliver, analyze, power and control critical parameters","Industrial Machinery",85,22,37,52,40
MKTX,"MarketAxess Holdings Inc.",B,Conservative,A,C,C,B,B,B,C,F,C,A,14.67,58.60,1.00,390.00,219.00,1.71,1.60,204.20,9.80,1.97,15.03,14.90,"Operates an electronic multi-party platform for the trading of fixed income securities","Investment Banks/Brokers",43,16,8,13,16
MMM,"3M Company",D,Conservative,D,D,D,D,D,D,D,F,D,A,56.58,10.20,5.00,154.00,103.00,2.65,-3.50,7.00,-15.20,1.59,-39.87,1.00,"Manufactures and distributes personal safety, industrial abrasives, finishing and electrical products and materials","Industrial Conglomerates",6,1,3,2,5
MMP,"Magellan Midstream Partners, L.P.",B,Conservative,A,C,C,C,C,C,F,D,D,A,10.68,10.60,8.00,55.00,46.00,0.78,-29.00,741.60,9.90,1.19,52.91,2.90,"Provides transportation, storage and distribution for refined petroleum products","Oil & Gas Pipelines",26,9,7,7,19
MNST,"Monster Beverage Corporation",A,Conservative,A,C,C,C,C,B,D,C,C,B,53.79,46.10,0.00,105.00,78.00,0.55,-8.90,1.00,11.60,0.68,23.23,22.90,"Operates as a holding company with interests in markets and distributes energy drinks","Beverages: Non-Alcoholic",17,3,7,3,2
MOH,"Molina Healthcare, Inc.",D,Conservative,D,C,C,D,D,B,C,F,C,A,15.30,19.50,0.00,369.00,252.00,4.90,2.10,8.00,6.90,5.18,5.74,13.60,"Provides health care services to persons eligible for Medicaid","Managed Health Care",9,6,6,5,2
MPC,"Marathon Petroleum Corporation",A,Conservative,A,B,C,A,A,A,B,F,B,A,56.14,4.30,2.00,135.00,78.00,1.49,17.40,33.00,-12.20,5.46,266.59,-21.80,"Operates as petroleum product refiners, marketers and transporters","Oil Refining/Marketing",11,1,7,3,3
MPLX,"MPLX LP",B,Conservative,A,C,D,B,C,B,D,D,D,A,33.64,8.90,9.00,35.00,28.00,0.78,-7.50,2.00,-3.60,0.83,6.52,0.50,"Owns, operates, develops and acquires pipelines and other midstream assets","Oil & Gas Pipelines",26,6,20,12,22
MPW,"Medical Properties Trust, Inc.",F,Conservative,F,D,D,F,F,D,F,D,F,B,4.62,5.14,10.41,21.54,7.73,1.05,-187.56,352.87,-13.89,0.25,-76.56,-13.43,"Operates a real estate investment trust which acquires and develops net-leased healthcare facilities","Real Estate Investment Trusts",209,54,173,112,126
MPWR,"Monolithic Power Systems, Inc.",B,Conservative,B,B,A,B,A,B,C,F,C,A,23.00,53.96,0.85,536.88,309.20,2.45,1.14,450.11,19.17,2.98,21.70,10.94,"Designs, develops and markets proprietary, advanced analog and mixed-signal semiconductors",Semiconductors,101,20,18,11,33
MRK,"Merck & Co., Inc.",B,Conservative,A,C,F,C,C,D,C,F,D,A,264.19,18.20,3.00,115.00,79.00,2.14,5.50,13.00,-13.20,1.37,-36.18,9.20,"Discovers, develops and markets human and animal health products","Pharmaceuticals: Major",442,4,149,39,49
MRVI,"Maravai Lifesciences Holdings, Inc. Class A",F,Conservative,F,C,F,C,C,D,C,C,A,A,1.87,8.60,0.00,41.00,13.00,0.54,2.50,80.70,-67.00,0.04,-92.36,-4.30,"Develops drug therapies, diagnostics, novel vaccines and support research on human diseases","Miscellaneous Commercial Services",167,47,117,70,91
MSCI,"MSCI Inc. Class A",B,Conservative,B,C,C,B,B,B,C,F,C,F,42.95,50.10,1.00,568.00,379.00,2.98,2.90,591.10,5.60,3.06,2.82,15.10,"Provides investment decision support applications to investment institutions worldwide","Data Processing Services",54,2,16,13,11
MSEX,"Middlesex Water Company",D,Conservative,D,C,C,C,C,B,F,D,D,B,1.34,31.83,1.50,109.05,72.99,0.68,-25.23,41.65,15.07,0.53,-22.06,9.98,"Owns and operates regulated water utility and wastewater systems","Water Utilities",14,7,3,11,6
MSFT,"Microsoft Corporation",B,Conservative,B,C,D,C,C,C,C,F,C,A,2080.92,31.10,1.00,315.00,214.00,2.22,1.20,51.00,3.60,2.24,1.09,10.80,"Develops, manufactures and distributes software products","Packaged Software",336,1,193,64,149
MSI,"Motorola Solutions, Inc.",B,Conservative,A,B,B,A,A,B,C,F,B,A,44.26,33.32,1.26,272.70,197.00,1.70,6.14,2128.01,12.47,2.06,21.21,11.02,"Manufactures and sells communication infrastructure, devices, accessories and software","Telecommunications Equipment",50,2,15,6,15
